AA0	266.0000
AA1	280.0000
AA2	243.0000
AA3	380.0000
AA4	126.0000
AA5	78.0000
AA6	358.0000
AA7	174.0000
AA8	295.0000
AA9	252.0000
AA10	255.0000
AA11	240.0000
AA12	265.0000
AA13	143.0000
AA14	136.0000
AA15	84.0000
AA16	393.0000
AA17	144.0000
AA18	63.0000
AA19	293.0000
AA20	266.0000
AA21	339.0000
AA22	244.0000
AA23	294.0000
AA24	257.0000
AA25	72.0000
AA26	104.0000
AA27	346.0000
AA28	98.0000
AA29	216.0000
AA30	241.0000
AA31	63.0000
AA32	98.0000
AA33	348.0000
AA34	362.0000
AA35	52.0000
AA36	153.0000
AA37	158.0000
AA38	311.0000
AA39	278.0000
AA40	170.0000
AA41	168.0000
AA42	382.0000
AA43	328.0000
AA44	395.0000
AA45	318.0000
AA46	120.0000
AA47	50.0000
AA48	136.0000
AA49	132.0000
