AA0	245.0000
AA1	214.0000
AA2	361.0000
AA3	300.0000
AA4	245.0000
AA5	377.0000
AA6	183.0000
AA7	62.0000
AA8	348.0000
AA9	100.0000
AA10	236.0000
AA11	145.0000
AA12	53.0000
AA13	117.0000
AA14	383.0000
AA15	257.0000
AA16	371.0000
AA17	51.0000
AA18	206.0000
AA19	147.0000
AA20	337.0000
AA21	263.0000
AA22	256.0000
AA23	122.0000
AA24	312.0000
AA25	350.0000
AA26	322.0000
AA27	122.0000
AA28	343.0000
AA29	267.0000
AA30	116.0000
AA31	266.0000
AA32	358.0000
AA33	329.0000
AA34	395.0000
AA35	243.0000
AA36	256.0000
AA37	75.0000
AA38	63.0000
AA39	366.0000
AA40	116.0000
AA41	133.0000
AA42	334.0000
AA43	128.0000
AA44	182.0000
AA45	110.0000
AA46	63.0000
AA47	398.0000
AA48	354.0000
AA49	262.0000
